Month,Coarse wool Price,Coarse wool price % Change,,Cotton price % Change,Fine wool Price,Fine wool price % Change
Apr-90,482.34,-,,-,"1,071.63",-
May-90,447.26,-7.27%,,3.28%,"1,057.18",-1.35%
Jun-90,440.99,-1.40%,,5.29%,898.24,-15.03%
Jul-90,418.44,-5.11%,,1.01%,895.83,-0.27%
Aug-90,418.44,0.00%,,-10.95%,951.22,6.18%
Sep-90,412.18,-1.50%,,0.00%,936.77,-1.52%
Oct-90,394.64,-4.26%,,0.00%,901.85,-3.73%
Nov-90,334.5,-15.24%,,1.68%,888.61,-1.47%
Dec-90,328.24,-1.87%,,1.65%,870.55,-2.03%
Jan-91,319.47,-2.67%,,0.00%,887.41,1.94%
Feb-91,323.23,1.18%,,1.08%,596.02,-32.84%
Mar-91,328.24,1.55%,,-0.53%,586.39,-1.62%
Apr-91,365.82,11.45%,,-1.61%,596.02,1.64%
May-91,371.88,1.66%,,-0.55%,721,20.97%
Jun-91,340.6,-8.41%,,-2.20%,777.51,7.84%
Jul-91,337.48,-0.92%,,-4.49%,723.48,-6.95%
Aug-91,337.22,-0.08%,,-4.71%,680.64,-5.92%
Sep-91,313.96,-6.90%,,-4.32%,613.45,-9.87%
Oct-91,308.39,-1.77%,,-3.23%,558.18,-9.01%
Nov-91,307.57,-0.27%,,-6.67%,641.49,14.93%
Dec-91,295.4,-3.96%,,-2.86%,652.19,1.67%
Jan-92,297.04,0.56%,,-3.68%,619.37,-5.03%
Feb-92,341.89,15.10%,,-5.34%,655.83,5.89%
Mar-92,341.18,-0.21%,,-1.61%,667.93,1.84%
Apr-92,352.12,3.21%,,4.92%,667.7,-0.03%
May-92,367.36,4.33%,,4.69%,663.07,-0.69%
Jun-92,364.88,-0.68%,,5.22%,633.89,-4.40%
Jul-92,363.09,-0.49%,,2.13%,595.28,-6.09%
Aug-92,351.25,-3.26%,,-8.33%,568.94,-4.42%
Sep-92,349.29,-0.56%,,-5.30%,572.72,0.66%
Oct-92,335.47,-3.96%,,-6.40%,535.26,-6.54%
Nov-92,320.1,-4.58%,,-0.85%,508.04,-5.09%
Dec-92,310.7,-2.94%,,3.45%,512.94,0.96%
Jan-93,312.39,0.54%,,5.00%,495.22,-3.45%
Feb-93,309.68,-0.87%,,5.56%,469.37,-5.22%
Mar-93,309.67,0.00%,,2.26%,469.37,0.00%
Apr-93,328.92,6.22%,,-0.74%,429.69,-8.45%
May-93,337.01,2.46%,,-1.48%,468.13,8.95%
Jun-93,327.79,-2.74%,,-2.26%,470.06,0.41%
Jul-93,324.38,-1.04%,,-2.31%,464.93,-1.09%
Aug-93,313.93,-3.22%,,-3.94%,450.74,-3.05%
Sep-93,310.83,-0.99%,,0.00%,423.51,-6.04%
Oct-93,316.62,1.86%,,-0.82%,454.84,7.40%
Nov-93,325.5,2.80%,,0.00%,497.77,9.44%
Dec-93,320.03,-1.68%,,8.26%,465.45,-6.49%
Jan-94,320.1,0.02%,,16.79%,542.31,16.51%
Feb-94,338.13,5.63%,,16.34%,606.03,11.75%
Mar-94,379.25,12.16%,,1.12%,609.58,0.59%
Apr-94,376.82,-0.64%,,2.78%,645.79,5.94%
May-94,398.37,5.72%,,2.70%,719.63,11.43%
Jun-94,394.46,-0.98%,,-0.53%,779.41,8.31%
Jul-94,411.95,4.43%,,-4.76%,773.5,-0.76%
Aug-94,425.91,3.39%,,-6.11%,806.82,4.31%
Sep-94,444.48,4.36%,,-1.78%,876.1,8.59%
Oct-94,433.45,-2.48%,,-1.81%,824.64,-5.87%
Nov-94,446.07,2.91%,,4.91%,881.7,6.92%
Dec-94,426.04,-4.49%,,12.28%,878.41,-0.37%
Jan-95,447.06,4.93%,,9.90%,904.18,2.93%
Feb-95,467.94,4.67%,,5.69%,892.34,-1.31%
Mar-95,516.73,10.43%,,9.42%,887.13,-0.58%
Apr-95,520.27,0.69%,,2.87%,867.85,-2.17%
May-95,516.49,-0.73%,,0.80%,839.28,-3.29%
Jun-95,519.41,0.57%,,-20.95%,826.06,-1.58%
Jul-95,537.66,3.51%,,-3.50%,751.11,-9.07%
Aug-95,547.44,1.82%,,-2.59%,789.25,5.08%
Sep-95,507.04,-7.38%,,6.91%,732.98,-7.13%
Oct-95,495.99,-2.18%,,0.00%,622.07,-15.13%
Nov-95,436.58,-11.98%,,-1.99%,600.95,-3.40%
Dec-95,453.11,3.79%,,-1.52%,590.53,-1.73%
Jan-96,456.77,0.81%,,-2.06%,584.39,-1.04%
Feb-96,450.38,-1.40%,,-1.58%,525.31,-10.11%
Mar-96,439.18,-2.49%,,-2.14%,573.83,9.24%
Apr-96,416.56,-5.15%,,0.00%,597.67,4.15%
May-96,440.06,5.64%,,0.00%,743.54,24.41%
Jun-96,447.61,1.72%,,0.00%,701.36,-5.67%
Jul-96,420.32,-6.10%,,-3.83%,671.43,-4.27%
Aug-96,417.67,-0.63%,,-4.55%,751.65,11.95%
Sep-96,404.38,-3.18%,,-1.19%,738.33,-1.77%
Oct-96,416.41,2.97%,,0.00%,681.61,-7.68%
Nov-96,419.48,0.74%,,1.20%,616.97,-9.48%
Dec-96,417.72,-0.42%,,4.17%,632.94,2.59%
Jan-97,408.62,-2.18%,,0.57%,677.73,7.08%
Feb-97,442.94,8.40%,,0.57%,730.96,7.85%
Mar-97,425.82,-3.87%,,0.56%,719.66,-1.55%
Apr-97,451.19,5.96%,,-2.25%,764.21,6.19%
May-97,467.49,3.61%,,0.57%,805,5.34%
Jun-97,478.76,2.41%,,1.71%,829.35,3.02%
Jul-97,478.56,-0.04%,,0.56%,826.26,-0.37%
Aug-97,427.63,-10.64%,,0.00%,765.93,-7.30%
Sep-97,448.81,4.95%,,-1.68%,801.91,4.70%
Oct-97,435.41,-2.99%,,-2.84%,769.16,-4.08%
Nov-97,434.67,-0.17%,,-0.58%,739.89,-3.81%
Dec-97,413.62,-4.84%,,-3.53%,688.07,-7.00%
Jan-98,399.02,-3.53%,,-3.05%,636.11,-7.55%
Feb-98,406.64,1.91%,,-4.40%,631.72,-0.69%
Mar-98,384.83,-5.36%,,-0.66%,625.92,-0.92%
Apr-98,379.81,-1.30%,,-3.97%,627.82,0.30%
May-98,355.7,-6.35%,,-2.07%,606.13,-3.45%
Jun-98,348.24,-2.10%,,7.04%,595.3,-1.79%
Jul-98,308.83,-11.32%,,1.32%,583.14,-2.04%
Aug-98,296.93,-3.85%,,-2.60%,500.19,-14.22%
Sep-98,280.11,-5.66%,,-2.67%,462.89,-7.46%
Oct-98,286.85,2.41%,,-6.85%,417.47,-9.81%
Nov-98,294.93,2.82%,,-8.82%,472.27,13.13%
Dec-98,294.77,-0.05%,,-0.81%,474.81,0.54%
Jan-99,299.37,1.56%,,0.00%,489.07,3.00%
Feb-99,287.1,-4.10%,,0.81%,493.14,0.83%
Mar-99,297.46,3.61%,,0.81%,626.64,27.07%
Apr-99,298.88,0.48%,,1.60%,680.43,8.58%
May-99,288.74,-3.39%,,3.94%,620.3,-8.84%
Jun-99,288.32,-0.15%,,-2.27%,676.74,9.10%
Jul-99,286.32,-0.69%,,-6.98%,690.03,1.96%
Aug-99,254.34,-11.17%,,-6.67%,631.04,-8.55%
Sep-99,247.09,-2.85%,,-2.68%,623.26,-1.23%
Oct-99,247.29,0.08%,,-3.67%,619.83,-0.55%
Nov-99,255.49,3.32%,,-2.86%,631.74,1.92%
Dec-99,267.26,4.61%,,-4.90%,648.77,2.70%
Jan-00,276.44,3.43%,,8.25%,724.21,11.63%
Feb-00,260.07,-5.92%,,12.38%,727.09,0.40%
Mar-00,267.1,2.70%,,6.78%,767.31,5.53%
Apr-00,273.81,2.51%,,2.38%,801.42,4.45%
May-00,290.37,6.05%,,3.10%,817.72,2.03%
Jun-00,293.98,1.24%,,-1.50%,764.33,-6.53%
Jul-00,302.36,2.85%,,-1.53%,746.93,-2.28%
Aug-00,289.92,-4.11%,,3.88%,717.29,-3.97%
Sep-00,283.27,-2.29%,,1.49%,695.9,-2.98%
Oct-00,279.87,-1.20%,,-1.47%,688.38,-1.08%
Nov-00,267.66,-4.36%,,5.22%,663.53,-3.61%
Dec-00,286.88,7.18%,,2.84%,688.39,3.75%
Jan-01,309.69,7.95%,,-2.76%,716.14,4.03%
Feb-01,323.95,4.60%,,-5.67%,733.28,2.39%
Mar-01,315.36,-2.65%,,-9.77%,688.23,-6.14%
Apr-01,327.52,3.86%,,-5.83%,760.63,10.52%
May-01,325.69,-0.56%,,-2.65%,716.77,-5.77%
Jun-01,326.92,0.38%,,-4.55%,683.81,-4.60%
Jul-01,328.26,0.41%,,-4.76%,630.79,-7.75%
Aug-01,348.94,6.30%,,-4.00%,617.91,-2.04%
Sep-01,340.53,-2.41%,,-5.21%,524.19,-15.17%
Oct-01,330.29,-3.01%,,-9.89%,441.98,-15.68%
Nov-01,335.91,1.70%,,2.44%,466.09,5.45%
Dec-01,376.13,11.97%,,13.10%,501.44,7.58%
Jan-02,444.11,18.07%,,1.05%,599.55,19.57%
Feb-02,516.35,16.27%,,-2.08%,621.99,3.74%
Mar-02,529.16,2.48%,,-1.06%,607.57,-2.32%
Apr-02,525.07,-0.77%,,-2.15%,614.56,1.15%
May-02,519.78,-1.01%,,-3.30%,619.09,0.74%
